Question,Option1,Option2,Option3,Option4,Correct Option
"The concept of 'One Nation, One Election' necessitates constitutional amendments to which of the following provisions?",Article 83 (Duration of Houses of Parliament),Article 172 (Duration of State Legislatures),Article 356 (Provisions in case of failure of constitutional machinery in State),All of the above,All of the above
"Consider the following statements regarding the Uniform Civil Code (UCC):
1. It is mentioned in Article 44 of the Directive Principles of State Policy.
2. The 42nd Constitutional Amendment Act inserted Article 44 in the Constitution.
3. Goa is the only state in India currently having a UCC.
Which of the statements given above is/are correct?",1 only,1 and 3 only,2 and 3 only,"1, 2, and 3",1 only
"The 'PMLA' (Prevention of Money Laundering Act), often seen in news, is enforced by which government agency?",Central Bureau of Investigation (CBI),National Investigation Agency (NIA),Enforcement Directorate (ED),Directorate of Revenue Intelligence (DRI),Enforcement Directorate (ED)
The 'SWAMIH Fund' (Special Window for Affordable and Mid-Income Housing) is associated with which sector?,Agriculture,"Micro, Small, and Medium Enterprises (MSMEs)",Real Estate,Startups and Venture Capital,Real Estate
Which report or index is published by the NITI Aayog to measure progress towards global development goals at the sub-national level in India?,Global Hunger Index (GHI),SDG India Index,Ease of Doing Business Index,Multi-dimensional Poverty Index (MPI) (India Specific),SDG India Index
"The recent amendments to the IT Rules, 2021 (Information Technology Rules) are related to:",Regulation of OTT (Over-the-Top) platforms.,Establishing a framework for OBC (Online Gaming Companies).,Establishing Fact Check Units (FCUs) to counter misinformation.,Mandating local data storage for all social media companies.,Establishing Fact Check Units (FCUs) to counter misinformation.
The term 'Delimitation' in the context of the Indian Parliament is primarily concerned with:,The reservation of seats for Scheduled Castes and Scheduled Tribes.,The act of fixing limits or boundaries of territorial constituencies.,The process of removing a Member of Parliament (MP) on grounds of defection.,Determining the number of seats for a State in the Lok Sabha.,The act of fixing limits or boundaries of territorial constituencies.
"Which state recently announced the implementation of the Old Pension Scheme (OPS), a move with significant fiscal implications?",Gujarat,Madhya Pradesh,Uttar Pradesh,"Himachal Pradesh (and others like Rajasthan, Chhattisgarh)","Himachal Pradesh (and others like Rajasthan, Chhattisgarh)"
The 'Women's Reservation Bill' (Nari Shakti Vandan Adhiniyam) seeks to reserve what proportion of seats in the Lok Sabha and State Legislative Assemblies for women?,10%,25%,33%,50%,33%
The 'Pradhan Mantri Jan Jati Adivasi Nyaya Maha Abhiyan (PM-JANMAN)' scheme is primarily aimed at:,Providing universal basic income to all tribal families.,Establishing Eklavya Model Residential Schools (EMRS) in every block.,Saturating Particularly Vulnerable Tribal Groups (PVTGs) with basic facilities.,Promoting tourism in tribal-dominated areas.,Saturating Particularly Vulnerable Tribal Groups (PVTGs) with basic facilities.
"With reference to the Inter-State Council in India, consider the following statements:
1. It is a constitutional body established under Article 263.
2. The Prime Minister is the Chairman of the Council.
3. Its recommendations are binding on the Union and State Governments.
Which of the statements given above is/are correct?",1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",1 and 2 only
Which is the nodal ministry for implementing the PM Vishwakarma Scheme?,Ministry of Skill Development and Entrepreneurship,Ministry of Finance,Ministry of Culture,"Ministry of Micro, Small and Medium Enterprises (MSME) (along with others)","Ministry of Micro, Small and Medium Enterprises (MSME) (along with others)"
The recent judgment by the Supreme Court on the appointment of the Chief Election Commissioner (CEC) and Election Commissioners (ECs) proposed a committee comprising:,"Prime Minister, Chief Justice of India, and Leader of Opposition in Lok Sabha.","Prime Minister, Union Home Minister, and Leader of Opposition in Lok Sabha.","Prime Minister, Leader of Opposition in Lok Sabha, and a Union Cabinet Minister. (As per the new law passed by Parliament)","Chief Justice of India, Leader of Opposition in Lok Sabha, and the Law Minister.","Prime Minister, Leader of Opposition in Lok Sabha, and a Union Cabinet Minister. (As per the new law passed by Parliament)"
The 'Disinvestment Target' of the Government of India is published annually as part of:,The Economic Survey.,The Finance Commission Report.,The Union Budget.,The RBI's Monetary Policy Report.,The Union Budget.
The GI tag (Geographical Indicator) for the 'Basmati Rice' variety is exclusively shared between India and which other country?,Afghanistan,Iran,Nepal,Pakistan,Pakistan
"The 'Right to Repair' framework, recently in news, is an initiative primarily focused on:",Ensuring consumers have access to tools and information to fix their products.,Providing the right to free repair for electronic goods.,Establishing government-run repair centers.,Mandating manufacturers to replace faulty products within the warranty period.,Ensuring consumers have access to tools and information to fix their products.
The 'Mahila Samman Savings Certificate (MSSC)' scheme is designed to:,Provide educational loans to girl students.,Offer a small savings deposit facility for women and girls.,Provide collateral-free loans to women entrepreneurs.,Fund the setting up of self-help groups (SHGs).,Offer a small savings deposit facility for women and girls.
"The 'Operation Kaveri', recently conducted by India, was related to:",Evacuating Indian citizens from Ukraine.,Rescue and relief operations after the Turkiye-Syria earthquake.,Evacuating Indian citizens from conflict-ridden Sudan.,Providing humanitarian assistance to Afghanistan.,Evacuating Indian citizens from conflict-ridden Sudan.
"The 'Global Partnership on Artificial Intelligence (GPAI)', a multi-stakeholder initiative, is headquartered in:",New York,Geneva,Bengaluru,Paris,Paris
"The 'First in Health' initiative, launched in collaboration with the World Economic Forum (WEF), focuses on:",Universal access to COVID-19 vaccines.,Integrating environmental protection with healthcare policy.,Digital transformation of the healthcare sector.,Addressing the challenges of non-communicable diseases (NCDs).,Digital transformation of the healthcare sector.
Which is the first country to issue a Digital Permanent Residency Visa (DPRV) for remote workers?,USA,UAE,Indonesia,Estonia,Indonesia
"The 'Teesta River' dispute, often in news, is a point of contention between India and which country?",Nepal,Bhutan,China,Bangladesh,Bangladesh
Which major UN body recently voted to replace the UNWTO (World Tourism Organization) with the 'UN Tourism' name and mandate?,UN General Assembly,UN Security Council,World Tourism Organization General Assembly,UN Economic and Social Council (ECOSOC),World Tourism Organization General Assembly
"Zaporizhzhia Nuclear Power Plant, the largest in Europe, which was in news due to the Russia-Ukraine conflict, is located in:",Russia,Belarus,Poland,Ukraine,Ukraine
India's first G20 summit after acquiring permanent membership in the African Union was hosted in:,Bali,Osaka,New Delhi,Rio de Janeiro,New Delhi
"The 'Sovereign Green Bond (SGrB)' framework, recently issued by the Government of India, aims to finance:",Social security schemes and public welfare programs.,Infrastructure projects in the North Eastern Region.,Projects promoting green and climate-friendly initiatives.,Funding for defense capital procurement.,Projects promoting green and climate-friendly initiatives.
The 'Unified Payments Interface (UPI)' has recently been linked with the fast payment system of which country for cross-border transactions?,USA,Singapore (PayNow),Australia,UK,Singapore (PayNow)
"The term 'Basel III norms', often discussed in the financial sector, is primarily related to the regulation of:",Insurance companies,Non-Banking Financial Companies (NBFCs),Banks,Stock exchanges,Banks
Which of the following is NOT a component of the RBI's Foreign Exchange Reserves?,Foreign Currency Assets (FCA),Gold,External Commercial Borrowings (ECBs),Special Drawing Rights (SDRs) (with IMF),External Commercial Borrowings (ECBs)
