Question,Option1,Option2,Option3,Option4,CorrectOption
Which feature of the Indian Constitution is borrowed from the British Constitution?,Judicial Review,Rule of Law,Directive Principles of State Policy,Fundamental Rights,Rule of Law
The Preamble to the Constitution of India was amended by which Constitutional Amendment Act?,24th Amendment Act,42nd Amendment Act,44th Amendment Act,61st Amendment Act,42nd Amendment Act
The 'Basic Structure Doctrine' was propounded by the Supreme Court in which case?,Minerva Mills Case (1980),Golaknath Case (1967),Kesavananda Bharati Case (1973),S.R. Bommai Case (1994),Kesavananda Bharati Case (1973)
Which part of the Constitution deals with the Fundamental Rights?,Part II,Part III,Part IV,Part V,Part III
The right to property was removed from the list of Fundamental Rights by the:,24th Amendment,42nd Amendment,44th Amendment,86th Amendment,44th Amendment
Which Article of the Constitution abolishes 'untouchability'?,Article 14,Article 17,Article 19,Article 21,Article 17
Right to Constitutional Remedies is mentioned under which Article?,Article 20,Article 21,Article 32,Article 51A,Article 32
Which one of the following is NOT a writ mentioned in the Constitution of India?,Mandamus,Habeas Corpus,Prohibition,Res Judicata,Res Judicata
The Directive Principles of State Policy (DPSP) are contained in which part of the Constitution?,Part III,Part IV,Part IV-A,Part V,Part IV
Which committee recommended the inclusion of Fundamental Duties in the Indian Constitution?,Sarkaria Committee,Swaran Singh Committee,Shah Commission,Kothari Commission,Swaran Singh Committee
The Fundamental Duties were added to the Constitution by the:,42nd Amendment Act,44th Amendment Act,86th Amendment Act,101st Amendment Act,42nd Amendment Act
The President of India is elected by an electoral college consisting of:,Elected members of both Houses of Parliament.,Elected members of both Houses of Parliament and State Legislative Assemblies.,All members of Parliament.,All members of Parliament and State Legislative Assemblies.,Elected members of both Houses of Parliament and State Legislative Assemblies.
What is the minimum age prescribed for a person to be eligible to be elected as the President of India?,25 years,30 years,35 years,40 years,35 years
The President can declare a National Emergency under which Article?,Article 352,Article 356,Article 360,Article 365,Article 352
The Vice-President is the ex-officio Chairman of the:,Lok Sabha,Rajya Sabha,Planning Commission (now NITI Aayog),National Development Council,Rajya Sabha
The Council of Ministers is collectively responsible to the:,President,Prime Minister,Rajya Sabha,Lok Sabha,Lok Sabha
The maximum strength of the Lok Sabha as envisioned by the Constitution is:,545,550,552,530,550
The maximum time gap between two sessions of the Parliament must not exceed:,3 months,6 months,9 months,12 months,6 months
A Money Bill can be introduced only in the:,Rajya Sabha,Lok Sabha,Joint Sitting of Parliament,Either House of Parliament,Lok Sabha
Who is the final authority to decide whether a bill is a Money Bill or not?,The President,The Vice-President,The Speaker of Lok Sabha,The Finance Minister,The Speaker of Lok Sabha
The provision for 'Joint Sitting' of both Houses of Parliament is provided under Article:,Article 100,Article 108,Article 110,Article 118,Article 108
The Estimates Committee is exclusively a committee of the:,Lok Sabha,Rajya Sabha,Both Houses jointly,None of the above,Lok Sabha
The Supreme Court was established on:,26th January 1950,28th January 1950,15th August 1947,26th November 1949,28th January 1950
The 'Judicial Review' power of the Supreme Court is derived from:,Article 13,Article 226,Article 32,Both Article 13 and 32,Both Article 13 and 32
The retirement age of a Judge of the Supreme Court is:,60 years,62 years,65 years,70 years,65 years
The Governor of a state is appointed by the:,Chief Minister,President,Chief Justice of the High Court,Vice-President,President
The Chief Minister of a state is:,Elected by the State Legislative Assembly,Appointed by the Governor,Appointed by the President,Elected by the majority party,Appointed by the Governor
The 73rd and 74th Constitutional Amendment Acts are related to:,Fundamental Rights,Centre-State Relations,Panchayats and Municipalities,Judicial Review,Panchayats and Municipalities
The Comptroller and Auditor General (CAG) of India is appointed under Article:,Article 76,Article 148,Article 280,Article 324,Article 148
The Finance Commission is constituted every five years by the:,Parliament,Prime Minister,President,Finance Minister,President
The Election Commission of India is a:,Statutory body,Constitutional body,Executive body,None of the above,Constitutional body
The Union Public Service Commission (UPSC) members are appointed by the:,Parliament,President,Prime Minister,Speaker,President
Which Article deals with the Right to Education (RTE) as a Fundamental Right?,Article 21,Article 21A,Article 45,Article 51A(k),Article 21A
The Inter-State Council is established under Article:,Article 262,Article 263,Article 280,Article 275,Article 263
Which of the following is NOT a feature of a Federal System?,Dual Government,Division of Powers,Single Citizenship,Written Constitution,Single Citizenship
The concept of 'Procedure Established by Law' is borrowed from which country's constitution?,USA,UK,Japan,Canada,Japan
Which Schedule of the Constitution deals with the division of powers between the Union and the States?,Sixth Schedule,Seventh Schedule,Eighth Schedule,Ninth Schedule,Seventh Schedule
The Official Languages of India are listed in which Schedule?,Seventh Schedule,Eighth Schedule,Ninth Schedule,Tenth Schedule,Eighth Schedule
The power to make laws on a subject not enumerated in any of the three lists (Residuary Power) rests with:,State Legislature,Parliament,President,Both Parliament and State Legislature,Parliament
The National Human Rights Commission (NHRC) is a:,Constitutional body,Statutory body,Executive body,Quasi-judicial body,Statutory body
The President can seek the advisory opinion of the Supreme Court under Article:,Article 141,Article 142,Article 143,Article 148,Article 143
The minimum age for a member of the Rajya Sabha is:,25 years,30 years,35 years,No minimum age,30 years
Who presides over the Joint Sitting of the two Houses of Parliament?,The President,The Vice-President,The Speaker of Lok Sabha,The Prime Minister,The Speaker of Lok Sabha
The Anti-defection Law is provided in which Schedule of the Constitution?,Ninth Schedule,Tenth Schedule,Eleventh Schedule,Twelfth Schedule,Tenth Schedule
The constitutional provision for the National Commission for Scheduled Castes (NCSC) is under Article:,Article 330,Article 338,Article 340,Article 342,Article 338
Which is the only Union Territory that has a High Court of its own?,Puducherry,Chandigarh,Delhi,Andaman and Nicobar Islands,Delhi
The maximum term of an Ordinance promulgated by the President is:,6 weeks,6 months,6 months and 6 weeks,1 year,6 months and 6 weeks
The concept of 'Equal Pay for Equal Work' is a:,Fundamental Right,Directive Principle of State Policy,Fundamental Duty,Statutory Right,Directive Principle of State Policy
Proclamation of Financial Emergency requires a Parliamentary approval within:,1 month,2 months,6 months,1 year,2 months
The Central Vigilance Commission (CVC) was established on the recommendation of which committee?,Santhanam Committee,Sarkaria Commission,L.M. Singhvi Committee,Ashok Mehta Committee,Santhanam Committee
The phrase 'Secular' was added to the Preamble by the:,42nd Amendment,44th Amendment,86th Amendment,It was always there,42nd Amendment
Article 20 of the Constitution provides protection in respect of:,Right to Life,Protection against arrest,Protection against double jeopardy and self-incrimination,Right to equality,Protection against double jeopardy and self-incrimination
The constitutional provision for Gram Sabha is covered under which amendment?,72nd Amendment,73rd Amendment,74th Amendment,97th Amendment,73rd Amendment
The minimum number of members required to move a No-Confidence Motion in the Lok Sabha is:,50 members,100 members,50% of total strength,1/3rd of total strength,50 members
"Which Article provides for the freedom of conscience and free profession, practice and propagation of religion?",Article 25,Article 26,Article 27,Article 28,Article 25
The Attorney General of India holds office during the pleasure of the:,Parliament,Prime Minister,President,Chief Justice of India,President
Which constitutional amendment gave a constitutional status to the National Commission for Backward Classes (NCBC)?,101st Amendment,102nd Amendment,103rd Amendment,104th Amendment,102nd Amendment
The Rajya Sabha has special powers to create a new All India Service under Article:,Article 249,Article 312,Article 352,Article 368,Article 312
The first ever constitutional amendment was done in:,1950,1951,1952,1956,1951
The power to legislate on subjects in the Concurrent List rests with:,Union only,States only,Both Union and States,Neither Union nor States,Both Union and States
"A constitutional government is, by definition, a:",Government by legislature,Limited government,Multi-party government,Popular government,Limited government
The Ninth Schedule was added by which Amendment Act?,First Amendment,Seventh Amendment,24th Amendment,42nd Amendment,First Amendment
The 'Electoral College' for the election of the President of India includes:,Elected members of Legislative Councils,Nominated members of Rajya Sabha,Elected members of State Legislative Assemblies,Members of Municipal Corporations,Elected members of State Legislative Assemblies
The system of Proportional Representation is used for the election of:,Lok Sabha,President,Governor,Chief Minister,President
The Panchayats are required to hold elections every:,3 years,4 years,5 years,6 years,5 years
The provision for 'Writs' jurisdiction of the High Court is provided under Article:,Article 32,Article 226,Article 139,Article 245,Article 226
The power to amend the Constitution is vested in the:,Supreme Court,President,Parliament,State Legislatures,Parliament
The Age of Voting was reduced from 21 to 18 years by which Amendment Act?,44th Amendment,61st Amendment,73rd Amendment,86th Amendment,61st Amendment
The Council of Ministers at the Union level cannot exceed what percentage of the total strength of the Lok Sabha?,10%,15%,20%,25%,15%
"The National Commission for SCs, STs, and OBCs submit their annual reports to the:",Prime Minister,Parliament,President,Speaker of Lok Sabha,President
Which Directive Principle was added by the 42nd Amendment and requires the state to secure opportunities for the healthy development of children?,Article 39(f),Article 40,Article 44,Article 48A,Article 39(f)
The President's Rule in a state can be extended for a maximum period of:,1 year,2 years,3 years,6 months,3 years
The Chairman of the Public Accounts Committee is traditionally appointed from the:,Ruling Party,Opposition Party,Lok Sabha,Rajya Sabha,Opposition Party
'Habeas Corpus' literally means:,We command,To be certified,By what authority,To have the body of,To have the body of
The power of the Supreme Court to punish for Contempt of itself is a:,Statutory power,Constitutional power,Convention,Power derived from Parliament,Constitutional power
The Planning Commission (now NITI Aayog) is a:,Constitutional body,Statutory body,Non-constitutional and non-statutory body,Quasi-judicial body,Non-constitutional and non-statutory body
Which Article deals with the Uniform Civil Code (UCC)?,Article 40,Article 44,Article 48,Article 50,Article 44
"The Fundamental Rights can be suspended during a National Emergency, except for which two Articles?",Article 19 and 20,Article 20 and 21,Article 21 and 22,Article 14 and 19,Article 20 and 21
The total number of members in the National Development Council (NDC) are:,Fixed by the Constitution,Fixed by the Parliament,"Varying, including CMs of all states",Fixed at 50,"Varying, including CMs of all states"
The Speaker of the Lok Sabha addresses his resignation to the:,President,Prime Minister,Deputy Speaker of Lok Sabha,Chief Justice of India,Deputy Speaker of Lok Sabha
The concept of 'Lokayukta' was first introduced in which state?,Bihar,Maharashtra,Orissa,Karnataka,Maharashtra
Which Article of the Constitution gives special status to the state of Jammu and Kashmir (now repealed)?,Article 370,Article 371,Article 372,Article 377,Article 370
The provision for a Bicameral Legislature at the state level is:,Compulsory for all states,Optional for states,Present in all states,Abolished by 42nd Amendment,Optional for states
