Question,Option1,Option2,Option3,Option4,CorrectOption
Which layer of the Earth's atmosphere is responsible for reflecting radio waves back to Earth?,Troposphere,Stratosphere,Mesosphere,Thermosphere (Ionosphere),Thermosphere (Ionosphere)
The process by which water vapor changes directly into ice without passing through the liquid phase is called:,Evaporation,Condensation,Sublimation,Deposition (Desublimation),Deposition (Desublimation)
Which of the following is an erosional landform created by glaciers?,Moraine,Esker,Drumlin,Cirque,Cirque
The term 'Ring of Fire' is associated with which natural hazard?,Hurricanes,Volcanic Eruptions and Earthquakes,Drought,Tsunami,Volcanic Eruptions and Earthquakes
The 'Roaring Forties' are strong westerly winds found primarily between:,$10^\circ$ and $20^\circ$ North latitude,$40^\circ$ and $50^\circ$ South latitude,$60^\circ$ and $70^\circ$ North latitude,Equator and $10^\circ$ North latitude,$40^\circ$ and $50^\circ$ South latitude
Which ocean current is a warm current that significantly influences the climate of Western Europe?,Labrador Current,Benguela Current,Gulf Stream,Canary Current,Gulf Stream
The boundary between the Earth's Crust and Mantle is known as:,Gutenberg Discontinuity,Lehmann Discontinuity,Mohorovičić Discontinuity,Conrad Discontinuity,Mohorovičić Discontinuity
'Plate Tectonics' theory explains the movement of continents. Which scientist is most associated with the continental drift hypothesis?,Charles Darwin,Alfred Wegener,J. Tuzo Wilson,Harry Hess,Alfred Wegener
Which one of the following mountain ranges is an example of a Fold Mountain?,Vosges Mountain,Sierra Nevada,Aravalli Range,Andes Mountains,Andes Mountains
The maximum annual range of temperature is found in:,Equatorial regions,Tropical regions,Polar regions,Temperate regions,Temperate regions
Which gas is the most abundant in the Earth's atmosphere by volume?,Oxygen,Argon,Nitrogen,Carbon Dioxide,Nitrogen
A 'Fjord' is a geographical feature typically found in:,Desert areas,Coastal areas of high latitudes,Tropical rainforests,High plateaus,Coastal areas of high latitudes
The two major components of 'Salinity' in ocean water are:,Calcium Chloride and Sodium Chloride,Sodium Chloride and Magnesium Chloride,Magnesium Sulphate and Potassium Chloride,Calcium Carbonate and Sodium Bicarbonate,Sodium Chloride and Magnesium Chloride
Which type of rainfall is most common in Equatorial regions?,Orographic rainfall,Frontal rainfall,Convectional rainfall,Cyclonic rainfall,Convectional rainfall
The famous 'Great Barrier Reef' is located off the coast of:,South Africa,Australia,Brazil,Mexico,Australia
The term 'Loo' is a local wind primarily found in:,Western Ghats of India,Indo-Gangetic Plain,Coastal regions of Gujarat,North-Eastern states of India,Indo-Gangetic Plain
Which of the following is a sedimentary rock?,Basalt,Marble,Limestone,Granite,Limestone
'Prairies' are temperate grasslands primarily found in:,South America,North America,Australia,Africa,North America
What is the main characteristic of a Tundra Biome?,High rainfall and high temperatures,Hot summers and cold winters,Permafrost and low-growing vegetation,"Deep, fertile soil and moderate temperatures",Permafrost and low-growing vegetation
The phenomenon of 'Aphelion' occurs when the Earth is:,Closest to the Sun,Farthest from the Sun,At the Equinox position,At the Solstice position,Farthest from the Sun
Which latitude passes almost halfway through India?,Tropic of Cancer ($23.5^\circ$ N),Equator ($0^\circ$),Tropic of Capricorn ($23.5^\circ$ S),Arctic Circle ($66.5^\circ$ N),Tropic of Cancer ($23.5^\circ$ N)
The highest peak in the peninsular plateau region of India is:,Doddabetta,Anai Mudi,Mahendragiri,Kanchenjunga,Anai Mudi
Which river flows through a rift valley in India?,Mahanadi,Godavari,Narmada,Krishna,Narmada
The 'Western Disturbances' that cause rainfall in North-Western India during winter originate in the:,Bay of Bengal,Arabian Sea,Mediterranean Sea,Caspian Sea,Mediterranean Sea
The 'Karewas' formations in Kashmir are famous for the cultivation of:,Apple,Saffron (Zafraan),Tea,Rice,Saffron (Zafraan)
The longest river of Peninsular India is:,Mahanadi,Godavari,Krishna,Cauvery,Godavari
