Question,Option1,Option2,Option3,Option4,Correct Option
Which one of the following is likely to be the most inflationary in its effects? (PYQ),Repayment of public debt.,Borrowing from the public to finance a budget deficit.,Borrowing from the banks to finance a budget deficit.,Creation of new money to finance a budget deficit.,Creation of new money to finance a budget deficit.
Which of the following is not a characteristic of a **developing economy**?,Low per capita income.,High rate of capital formation.,High dependence on agriculture.,High birth and death rates.,High rate of capital formation.
The **Minimum Support Price (MSP)** is recommended by which body?,NITI Aayog,Commission for Agricultural Costs and Prices (CACP),Ministry of Agriculture and Farmers Welfare,National Bank for Agriculture and Rural Development (NABARD),Commission for Agricultural Costs and Prices (CACP)
The term **'Reverse Repo Rate'** in monetary policy refers to:,The rate at which the RBI lends money to commercial banks.,The rate at which commercial banks borrow from the RBI.,The rate at which commercial banks lend money to the RBI.,The rate at which the RBI lends money to the Central Government.,The rate at which commercial banks lend money to the RBI.
Which of the following is the **most volatile component** of the Balance of Payments (BoP)?,Capital Account,Current Account,Errors and Omissions,Official Reserve Account,Capital Account
The **Consumer Price Index (CPI)** in India is primarily calculated by:,Reserve Bank of India (RBI),Ministry of Finance,National Statistical Office (NSO),NITI Aayog,National Statistical Office (NSO)
The **'Laffer Curve'** is a theoretical representation of the relationship between:,Inflation and Unemployment,Tax Rates and Tax Revenue,Money Supply and Interest Rates,GDP Growth and Investment,Tax Rates and Tax Revenue
Which of the following comes under the **tertiary sector** of the economy?,Manufacturing,Construction,Banking,Mining,Banking
**Marginal Standing Facility (MSF)** is a window for commercial banks to borrow from the RBI when they:,Are in a liquidity surplus position.,Need funds for long-term project financing.,Face an acute shortage of inter-bank liquidity.,Wish to raise capital from the market.,Face an acute shortage of inter-bank liquidity.
**Fiscal Policy** in India is formulated by:,Reserve Bank of India (RBI),Ministry of Finance,NITI Aayog,Comptroller and Auditor General (CAG),Ministry of Finance
"A situation in which the rate of inflation is high, the economic growth rate slows down, and unemployment remains steadily high is termed:",Deflation,Recession,Stagflation,Hyperinflation,Stagflation
