Question,Option1,Option2,Option3,Option4,CorrectOption
"Which one of the following is the **best description of the term ""ecosystem""**?",A community of organisms interacting with one another.,The part of the Earth inhabited by living organisms.,A community of organisms together with the environment in which they live.,The flora and fauna of a geographical area.,A community of organisms together with the environment in which they live.
"The **""Miyawaki method""** is well known for the:",Promotion of commercial farming in arid and semi-arid areas.,Development of gardens using genetically modified flora.,Creation of mini forests in urban areas.,Harvesting wind energy on coastal areas and on sea surfaces.,Creation of mini forests in urban areas.
Which one of the following is an **artificial ecosystem**?,Paddy field,Forest,Grassland,Lake,Paddy field
The **highest biological productivity** is found in:,Tropical rain forests,Temperate forests,Savanna,Deserts,Tropical rain forests
Eutrophication in a water body is caused by the addition of:,"Excess chemical nutrients, especially nitrates and phosphates.",Excess dissolved oxygen.,High concentrations of toxic heavy metals.,High concentration of suspended particles.,"Excess chemical nutrients, especially nitrates and phosphates."
Which of the following is the **correct sequence of the food chain**?,Grass → Fox → Rabbit → Man,Grass → Insects → Frog → Snake,Leaves → Bacteria → Beetle → Bird,Phytoplankton → Small fish → Zooplankton → Large fish,Grass → Insects → Frog → Snake
Which of the following is/are the **primary greenhouse gases** responsible for global warming?,Carbon Dioxide and Methane,Ozone and Carbon Monoxide,Nitrous Oxide and Sulfur Dioxide,Sulfur Hexafluoride and Water Vapor,Carbon Dioxide and Methane
Acid Rain is caused by the concentration of which of the following in the atmosphere?,Carbon Dioxide and Methane,Ozone and Particulate Matter,Sulphur Dioxide and Nitrogen Oxides,Carbon Monoxide and Carbon Disulphide,Sulphur Dioxide and Nitrogen Oxides
The **Montreal Protocol** is related to the protection of the:,Ozone layer,Marine pollution,Endangered species,Climate change,Ozone layer
The concept of **'Carbon Sequestration'** refers to:,The release of carbon from the soil into the atmosphere.,The natural or artificial capture and storage of atmospheric ‎CO₂.,The process of generating carbon credits.,The burning of fossil fuels to generate energy.,The natural or artificial capture and storage of atmospheric ‎CO₂.
Biodiversity hotspots are characterized by:,High endemism and high threat perception.,High species richness and low endemism.,Low endemism and low threat perception.,Low species richness and high threat perception.,High endemism and high threat perception.
The **Red Data Book** published by the IUCN contains lists of:,Endemic plant and animal species.,Threatened species of plants and animals.,Protected sites for conservation.,Species that have become extinct.,Threatened species of plants and animals.
Which is the only species of **Great Ape** found in India?,Gibbon,Orangutan,Chimpanzee,Gorilla,Gibbon
Keibul Lamjao National Park is famous for which unique floating vegetation and associated deer species?,Floating Mangroves and Sambar,Phumdis and Sangai,Shola Grasslands and Nilgiri Tahr,Reed beds and Swamp Deer,Phumdis and Sangai
"The **""System of Rice Intensification"" (SRI)** of cultivation, in which alternate wetting and drying of rice fields is practiced, results in:",Reduced seed requirement and increased methane production.,Reduced seed requirement and reduced methane production.,Increased seed requirement and reduced electricity consumption.,Increased methane production and reduced fertilizer use.,Reduced seed requirement and reduced methane production.
The term **'Carrying Capacity'** of an environment refers to:,The maximum growth rate of a population.,The number of species an ecosystem can support.,The maximum population size of a species that the environment can sustain indefinitely.,The total land area required to support a population.,The maximum population size of a species that the environment can sustain indefinitely.
The **Greenhouse Gas Protocol** is a widely used international accounting tool for:,Measuring the size of tropical forests.,Understanding national biodiversity.,Measuring and managing greenhouse gas emissions.,Tracking the growth of renewable energy.,Measuring and managing greenhouse gas emissions.
The **Biological Diversity Act** was enacted in India in the year:,1972,1986,2002,2010,2002
The **Stockholm Convention** is a global treaty to protect human health and the environment from:,Greenhouse gases,Persistent Organic Pollutants (POPs),Transboundary movement of hazardous wastes,Ozone-depleting substances,Persistent Organic Pollutants (POPs)
Which of the following is NOT a component of the **Human Development Index (HDI)**?,Life expectancy at birth,Gross National Income (GNI) per capita,Mean years of schooling,**Forest cover percentage**,**Forest cover percentage**
The primary source of the **Blue Carbon** is:,Carbon captured by tropical rainforests.,"Carbon stored in oceans and coastal ecosystems (like mangroves, salt marshes).",Carbon sequestered in deep saline aquifers.,Carbon present in the atmosphere.,"Carbon stored in oceans and coastal ecosystems (like mangroves, salt marshes)."
The **Kyoto Protocol** is related to:,Conservation of wetlands,Reduction of greenhouse gas emissions,Protection of cultural heritage,Regulation of international trade in endangered species,Reduction of greenhouse gas emissions
Which of the following is a **major characteristic of an endemic species**?,It is found only in a particular geographical area.,It is found in all climatic zones.,"It is a common, non-threatened species.",It has a wide global distribution.,It is found only in a particular geographical area.
